date,pathogen,group,amount
2024-01-07,Mycoplasma pneumoniae,Mycoplasma pneumoniae,22
2024-01-14,Mycoplasma pneumoniae,Mycoplasma pneumoniae,12
2024-01-21,Mycoplasma pneumoniae,Mycoplasma pneumoniae,12
2024-01-28,Mycoplasma pneumoniae,Mycoplasma pneumoniae,10
2024-02-04,Mycoplasma pneumoniae,Mycoplasma pneumoniae,11
2024-02-11,Mycoplasma pneumoniae,Mycoplasma pneumoniae,9
2024-02-18,Mycoplasma pneumoniae,Mycoplasma pneumoniae,6
2024-02-25,Mycoplasma pneumoniae,Mycoplasma pneumoniae,10
2024-03-03,Mycoplasma pneumoniae,Mycoplasma pneumoniae,9
2024-03-10,Mycoplasma pneumoniae,Mycoplasma pneumoniae,9
2024-03-17,Mycoplasma pneumoniae,Mycoplasma pneumoniae,6
2024-03-24,Mycoplasma pneumoniae,Mycoplasma pneumoniae,7
2024-03-31,Mycoplasma pneumoniae,Mycoplasma pneumoniae,5
2024-04-07,Mycoplasma pneumoniae,Mycoplasma pneumoniae,2
2024-04-14,Mycoplasma pneumoniae,Mycoplasma pneumoniae,3
2024-04-21,Mycoplasma pneumoniae,Mycoplasma pneumoniae,3
2024-04-28,Mycoplasma pneumoniae,Mycoplasma pneumoniae,2
2024-05-05,Mycoplasma pneumoniae,Mycoplasma pneumoniae,3
2024-05-12,Mycoplasma pneumoniae,Mycoplasma pneumoniae,4
2024-05-19,Mycoplasma pneumoniae,Mycoplasma pneumoniae,3
2024-05-26,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2024-06-02,Mycoplasma pneumoniae,Mycoplasma pneumoniae,2
2024-06-09,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2024-06-16,Mycoplasma pneumoniae,Mycoplasma pneumoniae,2
2024-06-23,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2024-06-30,Mycoplasma pneumoniae,Mycoplasma pneumoniae,3
2024-07-07,Mycoplasma pneumoniae,Mycoplasma pneumoniae,2
2024-07-14,Mycoplasma pneumoniae,Mycoplasma pneumoniae,3
2024-07-21,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2024-07-28,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2024-08-04,Mycoplasma pneumoniae,Mycoplasma pneumoniae,2
2024-08-11,Mycoplasma pneumoniae,Mycoplasma pneumoniae,3
2024-08-18,Mycoplasma pneumoniae,Mycoplasma pneumoniae,2
2024-08-25,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2024-09-01,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2024-09-08,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2024-09-15,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2024-09-22,Mycoplasma pneumoniae,Mycoplasma pneumoniae,2
2024-09-29,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2024-10-06,Mycoplasma pneumoniae,Mycoplasma pneumoniae,2
2024-10-13,Mycoplasma pneumoniae,Mycoplasma pneumoniae,2
2024-10-20,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2024-10-27,Mycoplasma pneumoniae,Mycoplasma pneumoniae,3
2024-11-03,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2024-11-10,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2024-11-17,Mycoplasma pneumoniae,Mycoplasma pneumoniae,2
2024-11-24,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2024-12-01,Mycoplasma pneumoniae,Mycoplasma pneumoniae,2
2024-12-08,Mycoplasma pneumoniae,Mycoplasma pneumoniae,2
2024-12-15,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2024-12-22,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2024-12-29,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-01-05,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2025-01-12,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-01-19,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-01-26,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2025-02-02,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-02-09,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-02-16,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-02-23,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-03-02,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-03-09,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2025-03-16,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-03-23,Mycoplasma pneumoniae,Mycoplasma pneumoniae,1
2025-03-30,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-04-06,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-04-13,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-04-20,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-04-27,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-05-04,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-05-11,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-05-18,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-05-25,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
2025-06-01,Mycoplasma pneumoniae,Mycoplasma pneumoniae,0
